epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2067.03,1.28319,0.88804,0.01517,0.87086,0.80134,0.86837,0.518,1.49624,0.78965,0.02017,0.001472,0.001472,0.001472
78,2093.06,1.27581,0.87646,0.0151,0.85356,0.80717,0.87209,0.52681,1.43004,0.79458,0.01865,0.00145945,0.00145945,0.00145945
79,2119.27,1.25734,0.87052,0.01506,0.91194,0.74888,0.86307,0.50394,1.53779,0.83511,0.02047,0.00144681,0.00144681,0.00144681
80,2145.58,1.26378,0.82432,0.01501,0.8487,0.78251,0.8365,0.49408,1.48794,0.82852,0.01972,0.00143408,0.00143408,0.00143408
81,2171.68,1.29128,0.86361,0.01549,0.90221,0.78609,0.86903,0.51083,1.46866,0.76937,0.01904,0.00142126,0.00142126,0.00142126
82,2198.02,1.26122,0.87457,0.0152,0.90082,0.78924,0.88147,0.51027,1.46811,0.77499,0.01957,0.00140836,0.00140836,0.00140836
83,2224.04,1.24291,0.8477,0.01475,0.8934,0.76682,0.86113,0.51086,1.44621,0.81812,0.0187,0.00139538,0.00139538,0.00139538
84,2250.29,1.24242,0.84336,0.01524,0.87992,0.79372,0.84611,0.50044,1.52787,0.85524,0.01979,0.00138232,0.00138232,0.00138232
85,2276.28,1.22211,0.84084,0.01447,0.84687,0.82063,0.87531,0.53876,1.38318,0.78631,0.01818,0.00136918,0.00136918,0.00136918
86,2302.63,1.24042,0.86441,0.01476,0.87538,0.78748,0.8657,0.4882,1.53181,0.826,0.02077,0.00135597,0.00135597,0.00135597
87,2328.63,1.21498,0.83459,0.01452,0.85303,0.80682,0.87046,0.5214,1.44467,0.75133,0.01913,0.00134269,0.00134269,0.00134269
88,2354.65,1.26206,0.82947,0.01489,0.87984,0.787,0.86821,0.54188,1.37281,0.72726,0.01825,0.00132934,0.00132934,0.00132934
89,2380.74,1.25729,0.82811,0.01484,0.88063,0.81614,0.88668,0.54236,1.39288,0.75579,0.01828,0.00131593,0.00131593,0.00131593
90,2406.75,1.22235,0.81242,0.01427,0.89446,0.81709,0.89009,0.53884,1.43069,0.74348,0.01917,0.00130245,0.00130245,0.00130245
91,2432.82,1.21568,0.80763,0.01463,0.88774,0.81564,0.89406,0.5299,1.45996,0.71176,0.01961,0.00128892,0.00128892,0.00128892
92,2458.9,1.21832,0.8187,0.01443,0.88534,0.81166,0.88805,0.53518,1.4197,0.74688,0.01804,0.00127532,0.00127532,0.00127532
