x,y,z
1.536144246896351540e+00,6.391139062332119591e-01,3.264599682017909621e-01
1.412493973325164021e+00,-1.800749420367203424e+00,3.213065852230585495e-01
2.325787917338851152e+00,6.237276888436659589e-02,3.423512934976198907e-01
1.537706102040254708e+00,6.377080427604997492e-01,3.274319883413455701e-01
2.321823681304354015e+00,6.066837607326521636e-02,3.287902808333036941e-01
1.536561602734975329e+00,6.422494553177363619e-01,3.264253147617323103e-01
2.322517692637865228e+00,6.633514380519817122e-02,3.196628788397116727e-01
1.531169132399945232e+00,6.427364288832551065e-01,3.289927601038022953e-01
2.316712856295092493e+00,7.811219361468155209e-02,3.171381915193509093e-01
1.530006028305540999e+00,6.403645418955750124e-01,3.263782635609386862e-01
1.431475985761789804e+00,-1.780539466951317484e+00,3.052924705862106736e-01
2.323092021502029425e+00,8.571647449081488956e-02,3.169374627631227348e-01
1.533725983857241681e+00,6.436406625728040565e-01,3.230182868176370015e-01
1.438924876543217657e+00,-1.799501833214048219e+00,3.134008374455155566e-01
2.323752031463660384e+00,8.760901065741372173e-02,3.172177548055621354e-01
1.545244078882465733e+00,6.411894924362824266e-01,3.192728885443348319e-01
2.329490863369470866e+00,8.465130468557946486e-02,3.187968665325681683e-01
1.555607191949446966e+00,6.442431053446834310e-01,3.182004069474625441e-01
1.427183947211938975e+00,-1.772344413641942618e+00,3.147027950259758677e-01
2.332612110217238133e+00,7.819918241026735384e-02,3.265451236400649382e-01
1.575023712809428877e+00,6.425654490598937674e-01,3.207731004984538115e-01
1.378155202383962719e+00,-1.783447621936812055e+00,3.130679751917851972e-01
2.330131795774669889e+00,5.754809521737108691e-02,3.278779399513471748e-01
1.601472374952479516e+00,6.398056471294937264e-01,3.190649581385631706e-01
1.299701801775233090e+00,-1.785487614386074950e+00,3.142569636031328217e-01
2.329976669487871188e+00,2.412623669884231270e-02,3.269615659708452471e-01
1.628003154382886120e+00,6.431320331097842846e-01,3.211264724196046250e-01
1.205190585214104271e+00,-1.765999092453051755e+00,3.058702868794546115e-01
2.333370497400357291e+00,-1.170559646448984803e-02,3.272575651459077029e-01
1.645966357077314424e+00,6.358256334834071488e-01,3.253443269616983491e-01
2.323285059664138341e+00,-5.618778742376279167e-02,3.240025332155319626e-01
1.714414119185634799e+00,6.415370074175710258e-01,3.217310684568900347e-01
2.373231885849571565e+00,-9.517196124153187720e-02,3.194847770279890531e-01
1.742272548050852521e+00,6.348734059962033438e-01,3.260212077988595691e-01
2.366584189260401150e+00,-1.374048646860503986e-01,3.296608894150667712e-01
1.752653731287397543e+00,6.381109538573737083e-01,3.199788501563981535e-01
2.355148373771601911e+00,-1.843197808298243090e-01,3.266790307290280415e-01
1.772089653025460620e+00,6.402447866683610433e-01,3.223931061898974160e-01
2.348682268799043626e+00,-2.340354268912913649e-01,3.221408890903362798e-01
1.789172678543839323e+00,6.341839403796586394e-01,3.145433253079493174e-01
2.342326554927035787e+00,-2.842983820727462141e-01,3.146546117855261171e-01
1.813141806457098992e+00,6.334298361013553924e-01,3.119585897258015939e-01
2.334960501066348559e+00,-3.370430748091728934e-01,3.132152301456505583e-01
1.839274075772838968e+00,6.302501889538112412e-01,3.106632451592034050e-01
2.338079026489701118e+00,-4.001841414931244234e-01,3.155327191271312670e-01
1.871775710864512110e+00,6.267565531268791679e-01,2.993988005928352458e-01
2.337747151281463154e+00,-4.650469241694414890e-01,2.865230994696282285e-01
7.097699120509456394e-01,6.950626304958261725e-01,3.484579823849614511e-01
1.907989851344770171e+00,6.251650605749483613e-01,2.842070355383322644e-01
2.332582442616080609e+00,-5.234175251354599157e-01,2.620220126556143114e-01
7.831897820089626094e-01,6.933858651837833120e-01,3.692642271254391595e-01
1.949333745727262812e+00,6.218550146577558335e-01,2.869872884679923186e-01
2.346802306848190245e+00,-5.798679315240701237e-01,2.636269900852208359e-01
8.473917420713596993e-01,6.754425966186557995e-01,3.622547557988223255e-01
1.992852402919232491e+00,6.262781044322230928e-01,2.992065928941118336e-01
2.364768318151219795e+00,-6.196749289488020507e-01,2.769447285118272761e-01
8.778074623397249532e-01,6.646391768552347701e-01,3.450673452930768104e-01
2.024967092903815935e+00,6.261738322729363260e-01,3.054522805177469214e-01
2.373880415055849902e+00,-6.311560360168617656e-01,2.901520866892520756e-01
